"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.001722,0.0015,0.001722,5e-06
1,0.001725,0.0015,0.001725,5e-06
1,0.001728,0.0015,0.001728,5e-06
1,0.001731,0.0015,0.001731,5e-06
1,0.001734,0.0015,0.001734,5e-06
1,0.001737,0.0015,0.001737,5e-06
1,0.00174,0.0015,0.00174,5e-06
1,0.001743,0.0015,0.001743,5e-06
1,0.001746,0.0015,0.001746,5e-06
1,0.001749,0.0015,0.001749,5e-06
1,0.001752,0.0015,0.001752,5e-06
1,0.001755,0.0015,0.001755,5e-06
1,0.001758,0.0015,0.001758,5e-06
1,0.001761,0.0015,0.001761,5e-06
1,0.001764,0.0015,0.001764,5e-06
1,0.001767,0.0015,0.001767,5e-06
1,0.00177,0.0015,0.00177,5e-06
1,0.001773,0.0015,0.001773,5e-06
1,0.001776,0.0015,0.001776,5e-06
1,0.001779,0.0015,0.001779,5e-06
1,0.001782,0.0015,0.001782,5e-06
1,0.001785,0.0015,0.001785,5e-06
1,0.001788,0.0015,0.001788,5e-06
1,0.001791,0.0015,0.001791,5e-06
1,0.001794,0.0015,0.001794,5e-06
1,0.001797,0.0015,0.001797,5e-06
1,0.0018,0.0015,0.0018,5e-06
1,0.001803,0.0015,0.001803,5e-06
1,0.001806,0.0015,0.001806,5e-06
1,0.001809,0.0015,0.001809,5e-06
1,0.001812,0.0015,0.001812,5e-06
1,0.001815,0.0015,0.001815,5e-06
1,0.001818,0.0015,0.001818,5e-06
1,0.001821,0.0015,0.001821,5e-06
1,0.001824,0.0015,0.001824,5e-06
1,0.001827,0.0015,0.001827,5e-06
1,0.00183,0.0015,0.00183,5e-06
1,0.001833,0.0015,0.001833,5e-06
1,0.001836,0.0015,0.001836,5e-06
1,0.001839,0.0015,0.001839,5e-06
1,0.001842,0.0015,0.001842,5e-06
1,0.001845,0.0015,0.001845,5e-06
1,0.001848,0.0015,0.001848,5e-06
1,0.001851,0.0015,0.001851,5e-06
1,0.001854,0.0015,0.001854,5e-06
1,0.001857,0.0015,0.001857,5e-06
1,0.00186,0.0015,0.00186,5e-06
