"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.12519,0.75644,0.21397,0.0026422,0.013901,0.16128,14.617,0.19954,56.562,31.776,6.0077,0,17.692,20.07,2.9142e-07,-7.7391e-08,7.8726e-08,1.0032,1,0.00024,0.0015,0.00024,5e-06
1.728e-11,0.12116,0.75662,0.21393,0.002638,0.013903,0.16137,14.616,0.19953,56.558,31.774,6.0075,0,17.663,20.071,2.9141e-07,-8.5676e-08,7.8703e-08,1.0031,1,0.000243,0.0015,0.000243,5e-06
1.728e-11,0.11713,0.7568,0.2139,0.0026338,0.013905,0.16146,14.616,0.19952,56.555,31.772,6.0073,0,17.634,20.072,2.914e-07,-9.3961e-08,7.868e-08,1.0031,1,0.000246,0.0015,0.000246,5e-06
1.728e-11,0.11326,0.75698,0.21386,0.0026296,0.013908,0.16155,14.615,0.19952,56.551,31.77,6.0071,0,17.605,20.072,2.9139e-07,-1.0191e-07,7.8657e-08,1.003,1,0.000249,0.0015,0.000249,5e-06
1.728e-11,0.10957,0.75716,0.21383,0.0026254,0.01391,0.16164,14.615,0.19951,56.548,31.768,6.0069,0,17.577,20.074,2.9137e-07,-1.0951e-07,7.8635e-08,1.003,1,0.000252,0.0015,0.000252,5e-06
1.728e-11,0.10587,0.75734,0.21379,0.0026211,0.013913,0.16173,14.614,0.1995,56.544,31.767,6.0067,0,17.548,20.075,2.9136e-07,-1.1712e-07,7.8613e-08,1.0029,1,0.000255,0.0015,0.000255,5e-06
1.728e-11,0.10248,0.75752,0.21375,0.0026169,0.013915,0.16183,14.614,0.1995,56.541,31.765,6.0065,0,17.52,20.076,2.9135e-07,-1.2411e-07,7.8592e-08,1.0029,1,0.000258,0.0015,0.000258,5e-06
1.728e-11,0.099094,0.75769,0.21372,0.0026126,0.013917,0.16192,14.613,0.19949,56.538,31.763,6.0063,0,17.491,20.077,2.9134e-07,-1.3109e-07,7.857e-08,1.0028,1,0.000261,0.0015,0.000261,5e-06
1.728e-11,0.095845,0.75787,0.21368,0.0026083,0.01392,0.16201,14.613,0.19948,56.534,31.761,6.0061,0,17.463,20.079,2.9133e-07,-1.3779e-07,7.855e-08,1.0027,1,0.000264,0.0015,0.000264,5e-06
1.728e-11,0.092737,0.75805,0.21364,0.002604,0.013922,0.16211,14.612,0.19948,56.531,31.759,6.0058,0,17.435,20.08,2.9132e-07,-1.4421e-07,7.8529e-08,1.0027,1,0.000267,0.0015,0.000267,5e-06
1.728e-11,0.089628,0.75823,0.2136,0.0025997,0.013925,0.1622,14.612,0.19947,56.528,31.757,6.0056,0,17.407,20.082,2.913e-07,-1.5063e-07,7.8509e-08,1.0026,1,0.00027,0.0015,0.00027,5e-06
1.728e-11,0.086775,0.75841,0.21356,0.0025954,0.013927,0.1623,14.611,0.19946,56.524,31.755,6.0054,0,17.379,20.084,2.9129e-07,-1.5652e-07,7.849e-08,1.0026,1,0.000273,0.0015,0.000273,5e-06
1.728e-11,0.083923,0.75858,0.21352,0.0025911,0.013929,0.1624,14.611,0.19945,56.521,31.753,6.0052,0,17.351,20.086,2.9128e-07,-1.6242e-07,7.8471e-08,1.0025,1,0.000276,0.0015,0.000276,5e-06
1.728e-11,0.081187,0.75876,0.21348,0.0025867,0.013932,0.1625,14.61,0.19945,56.518,31.752,6.005,0,17.324,20.088,2.9127e-07,-1.6807e-07,7.8452e-08,1.0025,1,0.000279,0.0015,0.000279,5e-06
